{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.0239897217753688, 'speedup_best': 1.0546399140093157, 'xsmm_local_avg': 5.7889375, 'xsmm_local_best': 5.582, 'xsmm_upstream_avg': 5.927812499999999, 'xsmm_upstream_best': 5.887}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0095436654145478, 'speedup_best': 1.00868003591739, 'xsmm_local_avg': 3.477437499999999, 'xsmm_local_best': 3.341, 'xsmm_upstream_avg': 3.5106250000000006, 'xsmm_upstream_best': 3.37}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.034939308878052, 'speedup_best': 1.0355866355866357, 'xsmm_local_avg': 6.523812500000002, 'xsmm_local_best': 6.435, 'xsmm_upstream_avg': 6.751749999999999, 'xsmm_upstream_best': 6.664}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0022923786012232, 'speedup_best': 1.0133942161339422, 'xsmm_local_avg': 3.4262083333333337, 'xsmm_local_best': 3.285, 'xsmm_upstream_avg': 3.4340624999999996, 'xsmm_upstream_best': 3.329}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.0233907347965643, 'speedup_best': 1.0691168403730116, 'xsmm_local_avg': 5.7635000000000005, 'xsmm_local_best': 5.469, 'xsmm_upstream_avg': 5.8983124999999985, 'xsmm_upstream_best': 5.847}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0194315487836634, 'speedup_best': 1.0187803800265136, 'xsmm_local_avg': 13.68264583333333, 'xsmm_local_best': 13.578, 'xsmm_upstream_avg': 13.948520833333335, 'xsmm_upstream_best': 13.833}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.3696876832782114, 'speedup_best': 1.3673910015322468, 'xsmm_local_avg': 14.670604166666665, 'xsmm_local_best': 14.358, 'xsmm_upstream_avg': 20.09414583333334, 'xsmm_upstream_best': 19.633}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0089076973552422, 'speedup_best': 1.008619303380182, 'xsmm_local_avg': 31.304854166666672, 'xsmm_local_best': 31.093, 'xsmm_upstream_avg': 31.583708333333334, 'xsmm_upstream_best': 31.361}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.996041293277308, 'speedup_best': 0.9834151663938898, 'xsmm_local_avg': 27.839479166666663, 'xsmm_local_best': 27.495, 'xsmm_upstream_avg': 27.729270833333334, 'xsmm_upstream_best': 27.039}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0468525117026481, 'speedup_best': 1.0545586369403661, 'xsmm_local_avg': 22.3640625, 'xsmm_local_best': 22.068, 'xsmm_upstream_avg': 23.411875000000006, 'xsmm_upstream_best': 23.272}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.025117646540581, 'speedup_best': 1.0243633692458376, 'xsmm_local_avg': 16.552937500000002, 'xsmm_local_best': 16.336, 'xsmm_upstream_avg': 16.96870833333333, 'xsmm_upstream_best': 16.734}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 1.3897258429425838, 'speedup_best': 1.3906672357376584, 'xsmm_local_avg': 14.466312499999999, 'xsmm_local_best': 14.058, 'xsmm_upstream_avg': 20.104208333333336, 'xsmm_upstream_best': 19.55}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 1.0062739105295617, 'speedup_best': 1.0051963048498846, 'xsmm_local_avg': 31.38327083333333, 'xsmm_local_best': 31.176, 'xsmm_upstream_avg': 31.580166666666667, 'xsmm_upstream_best': 31.338}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.9930180345583687, 'speedup_best': 0.9784177880953245, 'xsmm_local_avg': 27.800791666666665, 'xsmm_local_best': 27.569, 'xsmm_upstream_avg': 27.606687500000007, 'xsmm_upstream_best': 26.974}
